id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat
254|Miguel de Cervantes|Don Quijote (Leyenda para cinco voces)|6 de julio de 2004|Felipe B. Pedraza Jiménez|Rapsodas|Festival de Teatro Clásico|Corral de Comedias de Almagro|06-07-2004
255|Miguel de Cervantes|El juez de los divorcios ||Domingo Ortega |Grupo de Teatro de la Universidad Carlos III|||
256|Miguel de Cervantes|El retablo de las maravillas ||Domingo Ortega |Grupo de Teatro de la Universidad Carlos III|||
257|Miguel de Cervantes|El viejo celoso|23 de diciembre de 2004|Etelvino Vázquez|Teatro del Norte||Centro Cultural Cjastur de la Colegiata del San Juan Bautista de Gijón (Asturias)|
258|Miguel de Cervantes|El viejo celoso|5 de noviembre de 2004|Manuel Canseco|Asociación de Autores de Teatro|V Salón Internacional del Libro Teatral|Círculo de Bellas Artes|
259|Miguel de Cervantes|Exemplaridades cervantinas|23 de enero de 2004|Andrés Cienfuegos|La Quimera||Teatro Bergidu, de Ponferrada (León)|23-01-2004
260|Miguel de Cervantes|La cueva de Salamanca||J. A. Raynaud|Perséfone|||
261|Miguel de Cervantes|La edad de oro|19 de junio de 2004|Eusebio Lázaro|Compañía Eusebio Lázaro|Festival Clásicos en Alcalá|Corral de Zapateros de Alcalá de Henares (Madrid)|19-06-2004
262|Miguel de Cervantes|La pasión según don Quijote||Emilio Hernández|Sociedad Estatal de Connmemoraciones Culturales, Armonía||Teatro de La Abadía|
263|Miguel de Cervantes|Laberinto de amor||Juan Pastor|Guindalera Escena Abierta|||
264|Miguel de Cervantes|Morir cuerdo y vivir loco|13 de enero de 2004|Fernando Fernán Gómez|Centro Dramático de Aragón y Centro Dramático Nacional ||Teatro Principal de Zaragoza|13-01-2004
265|Miguel de Cervantes|Pedro de Urdemalas; Pedro, the Great Pretender  |1 de septiembre de 2004 en Inglaterra. 30 de octubre de 2004 en España|Mike Alfreds |Royal Shakespeare Company|Festival de Otoño|En Stratfor-upon-Avon (Inglaterra). Teatro Español de Madrid (España)|
266|Miguel de Cervantes|El retablo de las maravillas. Cinco variaciones sobre un tema de Cervantes|9 de enero de 2004|Alberto Boadella|Els Joglars||Teatro Lope de Vega (Sevilla)|
267|Miguel de Cervantes|Cervantes entre palos||Jesús Salgado|Teatro del Duende|||
268|Miguel de Cervantes|Cervantes insólito|13 de mayo de 2005|María Laura González y Tomás Sendarrubias|Argos Teatro||Teatro Salón Cervantes de Alcalá de Henares (Madrid)|13-05-2005
269|Miguel de Cervantes|Curioso retablo|21 de mayo de 2005|Luis Alonso|Teatro Independiente Alcalaíno TIA, Asociación Cultural||Teatro Salón Cervantes de Alcalá de Henares (Madrid)|21-05-2005
270|Miguel de Cervantes|Don Quijote||Juan Manuel Álvarez|Titirimundi Teatro|||
271|Miguel de Cervantes|Don Quijote ||Jon Sarasti|Galápagos Cálido|||
272|Miguel de Cervantes|Don Quixote|17 de junio de 2005|John Mowat|Companhia do Chapitô||Corral de Zapateros de Alcalá de Henares (Madrid)|17-06-2005
273|Miguel de Cervantes|El caballero de la triste figura ????|20 de marzo de 2005|Marcelo Rocca|El Retablo de la Ventana ||Teatro Juan Bravo (Segovia)|20-03-2005
274|Miguel de Cervantes|El caballeru de la Murnia Figura ????||Inma Rodríguez y Toño Caamaño|Producciones Nun Tris|||
275|Miguel de Cervantes|El casamiento engañoso. El coloquio de los perros||Pepe Ortega|Solo y Cía|||
276|Miguel de Cervantes|El de la triste figura ????||Juan Margallo|Uroc Teatro|||
277|Miguel de Cervantes|El desposeído; The Unpossessed||Stacy Klein|Double Edge Theatre|||
278|Miguel de Cervantes|El Quijote|||La Candelaria |||
279|Miguel de Cervantes|El viaje del Parnaso|7 de julio de 2005|Eduardo Vasco|CNTC|Festival Teatro Clásico|Corral de Comedias de Almagro (Ciudad Real)|07-07-2005
280|Miguel de Cervantes|El retablo de las maravillas|||La Compañía de la ETR|||
281|Miguel de Cervantes|El viejo celoso; Entremeses; La cueva de Salamanca; La guarda cuidadosa||Andrés Beladíez|La Barraca|||
282|Miguel de Cervantes|El viejo celoso|||Duelos y Quebrantos|||
283|Miguel de Cervantes|El viejo celoso; La compañía de Saavedra||Asunción Mieres|Aula de Teatro de la UEX|XVI Festival de Teatro Clásico de Cáceres||
284|Miguel de Cervantes|El viejo celoso; La cueva de Salamanca||Miguel Serrano|Teatro para un Instante||Corral del Carbón (Granada)|
285|Miguel de Cervantes|En un lugar de Sevilla|23 de abril de 2005|José Luis Losa|Edeteatro||Teatro Centro Virgen de los Reyes (Sevilla)|23-04-2005
286|Miguel de Cervantes|Entre pícaros y cómicos|12 de agosto de 2005|Antonoi Barrios|Teatro Par||Casa de las Campanas (Córdoba)|12-08-2005
287|Miguel de Cervantes|Entremeses|||Alharaca, Grupo de Teatro|||
288|Miguel de Cervantes|Entremeses: El viejo celoso, La cueva de Salamanca, Los habladores|||La Locandiera|||
289|Miguel de Cervantes|Impresión de don Quijote|25 de febrero de 2005|Francisco Plaza|Grupo Sona; Teatro Negro de Praga||Teatro Palacio Valdés de Avilés (Asturias)|25-02-2005
290|Miguel de Cervantes|La columna de El Manco ||Antonia Gómez|Varuma |||
291|Miguel de Cervantes|La cueva de Salamanca; La guarda cuidadosa||Arturo Castro|Teatro Margen|||
292|Miguel de Cervantes|La entretenida |2 de febrero|Helena Pimenta|CNTC||Teatro Pavón (Madrid)|
293|Miguel de Cervantes|La Gitanilla |23 de abril de 2005|Paco Macià|Compañía Ferroviaria de Artes Escénicas|Festival Cervantino de Ceutí|Murcia|23-04-2005
294|Miguel de Cervantes|La gracia que no quiso darme el cielo; Miguel de Cervantes, poesía escogida||Joaquín Vida|Joaquín Vida|||
295|Miguel de Cervantes|La Numancia||Javier Juárez|Kull d´Sac|||
296|Miguel de Cervantes|Las hazañas del caballero de La Mancha||Pascual Varo|El Carromato|||
297|Miguel de Cervantes|Los habladores|||Jara del Centro Extremeño de Alcalá de Henares. Grupo Teatro La|||
298|Miguel de Cervantes|Mi amigo Don Quijote||Claudia Massotto Franco|Arte Fusión Títeres|||
299|Miguel de Cervantes|Pasajes del Quijote||José Antonio Adamuz|Almocafre|||
300|Miguel de Cervantes|¡Quijote!||Cora Herrendorf|Teatro Núcleo|||
301|Miguel de Cervantes|Quijote||Marcelo Díaz|Teloncillo, Achiperre|||
302|Miguel de Cervantes|Quijote, las mil aventuras|17 de mayo de 2005|Fulgencio Valares |Atakama Teatro||Teatro López de Ayala, Badajoz (Extremadura) |17-05-2005
303|Miguel de Cervantes|Quijote, un hidalgo de La Mancha; Quijote. El hidalgo de la Mancha||Wolf Helem y José Vijuesca|Teatro Clásico Madrid Hidra Lerna|||
304|Miguel de Cervantes|Retablo de maese Pedro o de cómo Ginesillo de Pasamonte conoció a don Quijote y lo que le aconteció|3 de diciembre de 2005|Paco Úbeda|La Tirita de Teatro|||
305|Miguel de Cervantes|Sancho Panza, el musical|9 de abril de 2005|José Luis Moral|Arte&Ocio||Teatro Nuevo Apolo (Madrid)|
306|Miguel de Cervantes|Sancho Panza, gobernador de la ínsula Barataria|||Grupo de Teatro Punto y Aparte|||
307|Miguel de Cervantes|Teatro con clase||Ignacio Almenar|Delirium Teatro|||
308|Miguel de Cervantes|Entremeses||Andreu A. Segura|Rafel Oliver Producciones|||
309|Miguel de Cervantes|Entremeses ||Domingo Ortega|Grupo de Teatro de las Universidad Carlos III|||
310|Miguel de Cervantes|Entremeses: La cueva de Salamanca, Los habladores y La guarda cuidadosa||Domingo Ortega|Grupo de Teatro de la Universidad Carlos III|||
311|Miguel de Cervantes|Don Quixote|26 de octubre de 2007|Josep Galindo|West Yorkshire Playhouse; Mom|Festival de Otoño|Teatro Madrid|26-10-2007
312|Miguel de Cervantes|El viejo celoso||Margarita Rodríguez |Grupo Cultural Xana|||
313|Miguel de Cervantes|Numancia||Ken Kinguuji|Ksec Act|||
314|Miguel de Cervantes|Rinconete y Cortadillo en Tormes||María Barragñan|Esphera Teatro|||
315|Miguel de Cervantes|El licenciado Vidriera |8 de noviembre de 2009|Carlos Martín|Teatro del Temple||Centro Cívico Teodoro Sánchez Punter (Zaragoza)|
316|Miguel de Cervantes|Entremeses variados: La cueva de Salamanca; La guarda cuidadosa; Los habladores||dOMINGO Ortega|Sociedad Estatal de Servicios Culturales. SECC; Grupo de Teatro de la Universidad Carlos III|||
317|Miguel de Cervantes|Quijote||Simeón Spivak|Teatro de la Juventud de Fontanka|||
318|Miguel de Cervantes|Rinconete y Cortadillo; El licenciado Vidriera||Pepe Ortega|Ítaca Teatro|||
319|Miguel de Cervantes|Abrevia T|16 de marzo de 2010|Victor Manuel Dogar|Producciones Dogar||Teatro Bellas Artes (Madrid)|16-03-2010
320|Miguel de Cervantes|El coloquio de los perros|9 de octubre de 2010|Fefa Noia|Teatro de la Abadía|Semana Cervantina|Corral de Comedias, Alcalá de Henares (Madrid)|
321|Miguel de Cervantes|El imaginario de Cervantes|11 de septiembre de 2010|Sonia Sebastián|Teatro de Cámara Cervantes|Noche en Blanco|Sociedad Cervantina (Madrid)|11-09-2010
322|Miguel de Cervantes|El viejo celoso; El vizcaíno fingido; Entremeses de Cervantes; La cueva de Salamanca||Ernesto de Diego|Corrales de Comedias Teatro|||
323|Miguel de Cervantes|Don Quijote de la Mancha ||Meng Jinghui|Compañía Nacional de Teatro de China |||
324|Miguel de Cervantes|El coloquio de los perros|21 de enero de 2011|Francisco Negro|Morfeo Teatro Clásico||Teatro Principal de Burgos (Burgos)|21-01-2011
325|Miguel de Cervantes|Entremeses: El vizcaíno fingido, El viejo celoso y La cueva de Salamanca||Alejandro Arestegui|Secuencia 3 Artes y Comunicació|||
326|Miguel de Cervantes|Numancia |9 de abril de 2011|José Luis Arellano García|Joven Compañía de Teatro de Parla||Teatro de la Casa de la Juventud de Parla (Madrid)|09-04-2011
327|Miguel de Cervantes|Cipión de Berganza (incluye los entremeses: El viejo celoso, El vizcaíno fingido y Los habladores)||Carlos Fernández de Castro|Tiempolírico|||
328|Miguel de Cervantes|Don Quijote|13 de diciembre de 2012|Ángel Gutierrez|Teatro de Cámara Chéjov|Festival UNIR Alumni|Sala Gonzalo de Berceo de Logroño (La Rioja)|13-12-2012
329|Miguel de Cervantes|El coloquio de los perros||Emilio del Valle|Producciones Inconstantes|||
330|Miguel de Cervantes|El viejo celoso||Miguel Fresneda|Cambaluz Teatro|||
331|Miguel de Cervantes|Entremeses|9 de noviembre de 2012|Del Colectivo|Zamamur Producciones ||Gran Teatro de Cáceres (Extremadura)|
332|Miguel de Cervantes|Gaudeamus||Jaime Santos|La Chana Teatro|||
333|Miguel de Cervantes|Yo soy don Quijote; Yo soy Don Quijote de La Mancha|5 de julio de 2012|Luis Bermejo|Metrópolis Teatro|Festival de Teatro Clásico de Almagro|Antigua Universidad Renacentista de Almagro (Ciudad Real)|05-07-2012
334|Miguel de Cervantes|El coloquio de los perros |26 de marzo de 2013|Ramón Fontserè|CNTC, Els Joglars||Teatro Pavón de Madrid|26-03-2013
335|Miguel de Cervantes|El coloquio de los perros||Tagore González y David Orrico|Amanece Teatro|||
336|Miguel de Cervantes|Don Quijote de la Mancha |7 de abril de 2014|José Luis Gómez|Centro Dramático Nacional, CDN||Teatro Pavón de Madrid|
337|Miguel de Cervantes|El coloquio de los perros|17 de junio de 2014|Ma Zhenghong y Alejandro González Puche|Laboratorio Escénico Univalle|Festival Internacional de Teatro Clásico|Teatro Municipal de Almagro (Ciudad Real)|17-06-2014
338|Miguel de Cervantes|Entremeses: La cueva de Salamanca, El viejo celoso y El retablo de las maravillas||José Luis Gómez|Teatro de la Abadía|Festival Clásicos en Alcalá||
339|Miguel de Cervantes|Las locas historias de Don Quijote de La Mancha|22 de diciembre de 2014|Eva Rodríguez|Universalmix teatro||Centro Cultural La Vaguada de Madrid|22-12-2014
340|Miguel de Cervantes|El cerco de Numancia|19 de agosto de 2015|Paco Carrillo|Verbo Producciones|Festival Internacional de Teatro Clásico|Teatro Romano de Mérida (Badajoz)|19-08-2015
341|Miguel de Cervantes|El sueño del Quijote|18 de octubre de 2015|César Deneken|El Jinete Verde||Teatro Villamarta de Jerez de la Frontera (Cádiz)|18-10-2015
342|Miguel de Cervantes|Ingenius gentleman don Quixote of La Mancha||Ian Nicholson|Little Soldier Productions|||
343|Miguel de Cervantes|La española inglesa. Las dos doncellas; Novelas ejemplares||Gonzala Martín Scherman|Factoría Teatro S. L|||
344|Miguel de Cervantes|Quijote, el vértigo de Sancho; Kixote;|9 de enero de 2015|José Ramón Martínez|Markeliñe||Zornotza Aretoa de Amorebieta-Etxano, Vizcaya (País Vasco)|
345|Miguel de Cervantes|Quijote aventuras|14 de noviembre de 2015|Severiano García Noda|Delirium Teatro||Auditorio Capitol de Tacoronte, Sanra Cruz de Tenerife (Islas Canarias)|14-11-2015
346|Miguel de Cervantes|El coloquio de los perros|26 de julio de 2016|Gastón Borges|Lacoz|Festival Almagro Off|Teatro La Veleta de Almagro (Ciudad Real)|26-07-2016
347|Miguel de Cervantes|El retablo de las maravillas|30 de enero de 2016|Francisco Negro|Morfeo Teatro Clásico||Teatro Principal de Burgos (Castilla y León)|30-01-2016
348|Miguel de Cervantes|El viejo celoso||Adriano Iurissevich|Compañía Reymala|||
349|Miguel de Cervantes|La conquista de Jerusalén||Juan Sanz|Antiqua Escena|||
350|Miguel de Cervantes|La gitanilla|26 de octubre de 2016|Paco Maciá|Arena Teatro; Compañía Ferroviaria|Festiva Medieval|Elche (Alicante)|26-10-2016
351|Miguel de Cervantes|Numancia|16 de abril de 2016|Juan Carlos Pérez de la Fuente|Teatro Español||Teatro Español (Madrid)|16-04-2016
352|Miguel de Cervantes|Pedro de Urdemalas  |28 de julio de 2016|Denis Rafter|Joven Compañía Nacional de Teatro Clásico, CNTC|Festival Internacional de Teatro Clásico|Corral de Comedias de Almagro (Ciudad Real)|28-07-2016
353|Miguel de Cervantes|Tratos|14 de septiembre de 2016|Ernesto Caballero|Centro Dramático Nacional, CDN||Centro Cultural Conde Duque (mADRID)|
354|Miguel de Cervantes|Amors & Humors||Abel Folk y Pep Planas|Ilerda Antiqua|||
355|Miguel de Cervantes|Dos nuevois entremeses, nunca representados; La guada cuidadosa, El rufián viudo llamado Trampagos. |23 de noviembre de 2017|Ernesto Arias|Teatro de la Abadía||Sala Juan de la Cruz, Teatro de La Abadía (Madrid)|23-11-2017
356|Miguel de Cervantes|El rufián dichoso|13 de mayp de 2017|Rodrigo Arribas y Verónica Clausich|Fundación Siglo de Oro; Pentación, S.A; Pánico Escénico|Jornadas de Teatro del Siglo de Oro|Auditorio Municipal Maestro Padilla (Almería)|13-05-2017
357|Miguel de Cervantes|Don Quijote somos todos|1 de noviembre de 2019|Carlos Martín|Teatro del Temple||Palacio de Congresos de Jaca, Huesca (Aragón)|
358|Miguel de Cervantes|El coloquio de los perros. El casamiento engañoso. Novelas ejemplares. El coloquio de los perros. ||Emilio del Valle|Factoría Teatro S.L |||
359|Miguel de Cervantes|Licenciado Vidriera|18 de abril de 2019|Cristina D. Silveira|Karlik Danza Teatro; La Nave del Duende||La Nave del Deunde de Casar de Cáceres (Extremadura)|
360|Miguel de Cervantes|Microclásicos; El juez de los divorcios||Antonio León y Norton P|Corrales de Comedias S.L |||
361|Miguel de Cervantes|De cómo los entremeses de Cervantes no impidieron el casamiento de doña Catalina de Oviedo con el Gran Turco||Juan Mortera|Teatro Margen|||
362|Miguel de Cervantes|Diablos, brujas y granujas||Agustín Sasián|La Luciérnaga Producciones|||
363|Miguel de Cervantes|Don Quijote y Perrisancho|10 de marzo de 2020|Belén Sánchez Vigo|Perripato & Compañía||Sala La Cochera Cabaret (Málaga)|
364|Miguel de Cervantes|Ahora que nos dejan hablar|23 de enero de 2021|Álvaro Nogales|Mudanzas López, M. L. ||Corral de Comedias de Alcalá de Henares (Madrid)|23-01-2021
365|Miguel de Cervantes|Numancia|12 de noviembre de 2021|Ana Zamora|Nao d´Amores, Compañía Nacional de Teatro Clásico, CNTC||Teatro Juan Bravo de Segovia (Castilla y León)|12-11-2021
366|Miguel de Cervantes|El coloquio de las perras|8 de mayo de 2021|Hernán Gené|Estudio Hernán Gené||Corral de Cervantes (Plaza de toros) de Aranjuez (Madrid)|
367|Miguel de Cervantes|Muejres imaginadas en tiempos de Cervantes||Luis Alonso Prieto|Teatro Independiente Alcalaíno TIA|||
368|Miguel de Cervantes|Pr3cioxxa||Mario Marcol|Tío Venancio|||
369|Miguel de Cervantes|Quixote; Quijote||Laura Sarasola|Pedras de Cartón|||
370|Miguel de Cervantes|La guarda cuidadosa; La cueva de Salamanca|19 de junio de 2022|Javier Mañón|Corrales de Comedias Teatro||Corral de Comedias de Alcalá de Henares (Madrid) |19-06-2022
371|Juan de la Cueva|El príncipe tirano|13 de julio de 2006|Pepa Gamboa|Centro Andaluz de Teatro, CAT y Teatro Lope de Vega |Festival Internacional de Teatro Clásico de Almagro |Teatro Municipal de Almagro, Ciudad Real (Castilla La Mancha)|13-07-2006
372|María de Zayas y Sotomayor|La traición en la amistad|10 de julio de 2003|Mariano de Paco Serrano |Mariano de Paco Serrano||Claustro Mudéjar de Chinchilla, Albacete (Castilla La Mancha)|10-07-2003
373|María de Zayas y Sotomayor|La traición en la amistad|16 de julio de 2019|Daniel Acebes|Diágoras Producciones|Festival de Teatro Clásico|Corrala Palacio del Caballero de Olmedo, Valladolid (Castilla y León)|16-07-2019
374|María de Zayas y Sotomayor|Traspiés. Palabra para (des)aparecer ||Del Colectivo|Colectivo La Matrioska |||
375|María de Zayas y Sotomayor|Tan sabia como valerosa|26 de julio de 2020|Ignacio García|Instituto Cervantes|Festival Internacional de Teatro Clásico de Almagro |Corral de Comedias de Almagro, Ciudad Real (Castilla La Mancha)|26-07-2020
376|María de Zayas y Sotomayor|Adiós, dueño mío o la tradición en la amistad|1 de mayo de 2021|Magüi Mira|Olympia Metropolitana S.A||Auditorio de Torrent, Valencia (Comunidad Valenciana)|01-05-2021
377|María de Zayas y Sotomayor|Autorretratos de pluma y espada; Dramaturgias del barroco en primera persona ||Cristina S.Silveira|Karlik Danza Teatro|Festival de Teatro Clásico de Cáceres||
378|María de Zayas y Sotomayor|Bambi vs Godzsilla|30 de junio de 2022|Luis Tausía|Compañía del Tío Venancio |Festival Iberoamericano del Siglo de Oro Clásicos en Alcalá|Centro Cultural Gilitos de Alcalá, Madrid (Comunidad de Madrid)|30-06-2022
379|María de Zayas y Sotomayor|La traición 60.3|19 de mayo de 2022|Cruz Hernández|Unatarde Teatro||Teatro Círculo de Valencia, Valencia (Comunidad Valenciana)|19-05-2022
380|Temática SO / Juan Latino|||||||
381|Juan Ruiz de Alarcón|||||||
382|Lope de Rueda |Garnacho Bululo y Ñaque en la chanza del santero desollado, La carátula |1 de diciembre de 2001|Colectivo|El Capo Cómico||Calle Mayor de Alcalá de Henares, Madrid (Comunidad de Madrid)|
383|Lope de Rueda |La fiesta perpetua|19 de noviembre de 2003|Pilar Laveaga|Teatro de la Ribera||Teatro Principal de Zaragoza|19-11-2003
384|Lope de Rueda |Historias de Martín de Villalba.||Etelvino Vázquez|Teatro del Norte|||
385|Lope de Rueda |El deleitoso y otras delicias||Agusíin Iglesias|Teatro Guirigai|||
386|Lope de Rueda |Los cómicos de la legua||Domingo Torres|Uno teatro|||
387|Lope de Rueda |Julia, Un viaje teatrástico|22 de marzo de 2012|Julio Fraga |Teatro Clásico de Sevilla ||Teatro Villa del Conocimiento y las Artes de Mairena del Alcor, Sevilla (Andalucía)|22-03-2012
388|Lope de Rueda |La corte de los bufones: paso a paso la comedia||José Uriel García Solís|La Gorgona Teatro|||
389|Lope de Rueda |Fiesta de farsantes. Tablado del mundo|2 de septiembre de 2021|Daniel Alonso de Santos|Pérez y Goldstein S.L; Okboomer.|Festival Clásicos en Alcalá|Teatros del Canal, Madrid (Comunidad de Madrid)|
390|Lope de Rueda |La garnacha de los bufones||Javier Mañón|Corrales de Comedias |||
391|Temática SO / Juan Rana|||||||
392|Temático SO / Varia|||||||
393|Fernando de Rojas|||||||
394|Temática SO / Folklore|||||||
395|Temática SO / Música|||||||
396|Temática SO / Danza|||||||
