id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat
582|Bartolomé Torres Naharro|Comedia Aquilana|3 de marzo de 2018|Ana Zamora|Nao d´amores|Festival de Teatro Clásico de Almagro|Teatro de la Comedia. Compañía Nacional de Teatro Clásico|0-00-00
583|Bartolomé Torres Naharro|nan|20 de marzo de 2018|Agustín Iglesias|Compañía Teatro Guirigái|nan|Teatro de la Comedia. Compañía Nacional de Teatro Clásico|0-00-00
584|Jerónimo Bermúdez|Nise, la tragedia de Inés de Castro|12 de diciembre de 2019|Ana Zamora|Nao d´amores|Festival de Teatro Clásico de Almagro|Teatro de la Abadía|0-00-00
