Lugar de estreno,lat,lon
Centro Cultural Antonio Gala de La Rinconada (Sevilla),37.4849052,-5.982579
Patio Wessel de Almagro (Ciudad Real),38.9386546,-3.8196163
Aula de Teatro de la Universidad de Alcalá de Henares,40.4571879,-3.5190883
Cáceres,39.4716366,-6.3907192
Patio de Fúcares de Almagro (Ciudad Real),38.8899191,-3.709986
Teatro Calderón de Valladolid,41.6539837,-4.7246809
Antigua Universidad Renacentista de Almagro (Ciudad Real),38.8915937,-3.7148261
,,
Teatro Municipal de Almagro (Ciudad Real),38.89053,-3.7119068
,,
Corral de Comedias de Almagro (Ciudad Real),38.8884394,-3.7119119
,,
,,
,,
,,
,,
,,
,,
,,
Teatro Fernán-Gómez de Madrid,40.4249446,-3.6898673
"Centro de Artes Escénicas San Pedro de Olmedo, Valladolid",41.288271,-4.685676
"Casa Palacio de los Villarreal de Almagro, Ciudad Real",38.8885331,-3.7148567
"Monasterio Cisterciense de San Bernardo de Alcalá de Henares, Madrid",40.4830703,-3.3698094
Teatro Lope de Vega de Sevilla,37.3784059,-5.990964
Sala Tirso de Molina del Teatro de la Comedia de Madrid,40.4155336,-3.7003923
"Centro Cultural Gilitos de Alcalá de Henares, dentro de la programación del Festival Iberoamericano del Siglo de Oro, Clásicos en Alcalá",40.4921751,-3.3666232
,,
Sala La Cuina de Barcelona ,41.3806393,2.1349951
Teatro Pavón de Madrid,40.410031,-3.7061552
Teartro Pradillo de Madrid,40.4485746,-3.6746284
,,
Teatro Liceo de Salamanca,40.9662889,-5.6624954
Teatro Pavón de Madrid,40.410031,-3.7061552
Auditorio Municipal de Chinchilla (Albacete),38.9205243,-1.7243256
,,
Teatro Pavón de Madrid,40.410031,-3.7061552
,,
Teatro Cánovas de Málaga,36.7281001,-4.4186937
Teatro de la Universidad de Murcia,37.9992893,-1.1649039
Sala Central Lechera de Cádiz,36.5362562,-6.2942236
En Swan: Theatre de Stratford-upon-Avon. En España en Teatro Español de Madrid,46.2651809,-2.7532047
,,
"Hospital de San Juan, Almagro (Ciudad Real)",38.8888622,-3.7093043
,,
,,
,,
"Almagro, Ciudad Real",38.8888239,-3.7111408
Teatro de la Abadía de Madrid,40.4353022,-3.7094283
"Corral de Comedias de Alcalá de Henares, Madrid",40.4822922,-3.3645504
Plaza de San Jorge de Cáceres,39.4738717,-6.3702042
,,
"Corral de Comedias de Almagro, Ciudad Real",38.8884394,-3.7119119
Teatro Pavón de Madrid,40.410031,-3.7061552
,,
Sala Capitol de Cáceres,39.4762784,-6.3709216
"Casa de la Cultura de Almuñécar, Granada",36.7351075,-3.6901528
,,
,,
Teatro Español de Madrid,40.4149459,-3.7001863
,,
Teatro de la Comedia de Madrid,40.4155336,-3.7003923
"Corral de Cervantes, Madrid",40.3940876,-3.6994792
,,
Biblioteca Pública de Ávila,40.6587704,-4.6918416
Teatro Grec de Barcelona,41.3918513,2.1559657
Sala Nave 73 de Madrid,40.403178,-3.6987581
"Corral de Comedias de Almagro, Ciudad Real",38.8884394,-3.7119119
"Centro Cultural Gilitos de Alcalá de Henares, Madrid",40.4921751,-3.3666232
,,
Teatro Apolo de Almería (Andalucía),36.8406025,-2.4618673
"Teatro Garnelo de Montilla, Córdoba (Andalucía)",37.5905728,-4.6379186
,,
"Almagro, Ciudad Real (Castilla La Mancha)",38.8888239,-3.7111408
,,
,,
Corral de COmedias de Zapateros de Alcalá de Henares (Madrid),40.4822922,-3.3645504
,,
,,
"Teatro Cuyás de Las Palmas de Gran Canaria, Las Palmas (Islas Canarias)",28.1063842,-15.4183244
,,
Auditorio Parque Almansa de San Javier (Murcia),37.8033532,-0.8336313
Ermita de La Magdalena de Almagro,38.8844811,-3.7098712
Cáceres (Extremadura),39.4716366,-6.3907192
"Hospital de San Juan de Almagro, Ciudad Real (Castilla La Mancha)",38.8906549,-3.712043
Teatro Pavón (Madrid),40.410031,-3.7061552
Patio de Arcos del Colegio Prácticas nº1 de Málaga (Andalucía),36.7215367,-4.4221785
Teatro Salón Cervantes de Alcalá de Henares (Madrid),40.4834571,-3.3661106
"Silo de Almagro, Ciudad Real (Castilla La Mancha)",38.8942052,-3.7077272
,,
Cáceres (Extremadura),39.4716366,-6.3907192
"Teatro Calderón de Valladolid, Valladolid (Castilla y León)",41.6539837,-4.7246809
Teatro Salón Cervantes de Alcalá de Henares (Madrid),40.4834571,-3.3661106
,,
,,
,,
Gran Teatre del Liceu de Barcelona,41.3801969,2.1732948
Teatro Real de Madrid,40.4181323,-3.7102972
Teatro Principal de Zamora,41.5045405,-5.7464134
Centro Social de Castelló de Rugat (Valencia),38.9851553,-0.3081331
,,
Teatro de la Comedia,40.4155336,-3.7003923
Teatro de la Comedia (Madrid),40.4155336,-3.7003923
Espai Infantil de Tàrrega (Lleida),41.647055,1.1256542
